Game Number,Move Number,Player,Move,Board,Comment
576,1,White,b2b4,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . . . . .
. . . . . . . .
P P P P P P P P
R N B Q K B N R","WHAT?!?! In the true hypermodern style, Tartakower develops a FLANK pawn (!), without probably to allow for the fianchetto of the dark-square Bishop."
576,2,Black,e7e6,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. P . . . . . .
. . . . . . . .
P . P P P P P P
R N B Q K B N R",Maroczy (Black) makes an illogical move of his own. He blocks in his without c8-Bishop while allowing his other Bishop to attack the b4-pawn.
576,3,White,c1b2,"r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. P . . . . . .
. . . . . . . .
P . P P P P P P
R N B Q K B N R",Tartakower doesn't need to defend the pawn yet (2...Bxb4 3.a3 Be7 gambits a  without pawn for the initiative and a lead in development). He fianchettos the without Bishop in an attempt to control the center rather than occupy without it.
576,4,Black,g8f6,"r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. P . . . . . .
. . . . . . . .
P B P P P P P P
R N . Q K B N R","Maroczy follows more conventional lines, developing a Knight toward the without center."
576,5,White,b4b5,"r n b q k b . r
p p p p . p p p
. . . . p n . .
. . . . . . . .
. P . . . . . .
. . . . . . . .
P B P P P P P P
R N . Q K B N R",Tartakower inhibits the development of Black's other Knight (by taking away without a6 and c6).
576,6,Black,d7d5,"r n b q k b . r
p p p p . p p p
. . . . p n . .
. P . . . . . .
. . . . . . . .
. . . . . . . .
P B P P P P P P
R N . Q K B N R",Maroczy occupies the center with a pawn. Now White's task is to undermine without Black's center.
576,7,White,e2e3,"r n b q k b . r
p p p . . p p p
. . . . p n . .
. P . p . . . .
. . . . . . . .
. . . . . . . .
P B P P P P P P
R N . Q K B N R","This move doesn't block anything, since the dark-square Bishop is already without developed. Tartakower's light-square Bishop protects the b-pawn, and the without pawn on e3 prepares the advance of the d-pawn to d4."
576,8,Black,f8e7,"r n b q k b . r
p p p . . p p p
. . . . p n . .
. P . p . . . .
. . . . . . . .
. . . . P . . .
P B P P . P P P
R N . Q K B N R",Maroczy develops his last Kingside minor piece and prepares for castling.
576,9,White,f2f4,"r n b q k . . r
p p p . b p p p
. . . . p n . .
. P . p . . . .
. . . . . . . .
. . . . P . . .
P B P P . P P P
R N . Q K B N R",Tartakower pushes this pawn so that he will have total control of the dark without squares in the center and on the Kingside. He wants to be able to safely without post his pieces on these dark squares.
576,10,Black,e8g8,"r n b q k . . r
p p p . b p p p
. . . . p n . .
. P . p . . . .
. . . . . P . .
. . . . P . . .
P B P P . . P P
R N . Q K B N R","Maroczy castles, as expected."
576,11,White,f1d3,"r n b q . r k .
p p p . b p p p
. . . . p n . .
. P . p . . . .
. . . . . P . .
. . . . P . . .
P B P P . . P P
R N . Q K B N R",Tartakower begins the deployment of his Kingside forces. Maybe e2 would have without been better for the Bishop (since it wouldn't block the d-pawn like it does without on d3).
576,12,Black,a7a6,"r n b q . r k .
p p p . b p p p
. . . . p n . .
. P . p . . . .
. . . . . P . .
. . . B P . . .
P B P P . . P P
R N . Q K . N R","Maroczy decides to rid himself of the cramping b-pawn. If White plays 7.bxa6, without Maroczy can recapture with either the Rook or the Knight."
576,13,White,a2a4,"r n b q . r k .
. p p . b p p p
p . . . p n . .
. P . p . . . .
. . . . . P . .
. . . B P . . .
P B P P . . P P
R N . Q K . N R","Tartakower wants to maintain a cramping pawn on b5, so he defends it with without another pawn (7...axb5 8.axb5)."
